ename,etname
公安通信系统,抽象施工元素
地铁通信系统,抽象施工元素
电气装置,物理施工元素
供电系统,抽象施工元素
设施,抽象施工元素
供电系统,抽象施工元素
重要语音,专有名词
有线及无线调度,专有名词
重要语音,专有名词
中心广播,工具
自愈保护环,抽象施工元素
传输系统,抽象施工元素
民用传输系统,抽象施工元素
设备,物理施工元素
移动通信引入系统,抽象施工元素
设备,物理施工元素
集中监测告警系统,抽象施工元素
设备,物理施工元素
公安视频监视系统,抽象施工元素
设备,物理施工元素
公安无线通信引入系统,抽象施工元素
设备,物理施工元素
公安数据网络,抽象施工元素
设备,物理施工元素
单程车票,工具
车票,工具
储值车票,工具
车票,工具
其他票种,属性名
车票,工具
一票制,文件工作成果
票制,文件工作成果
区域制,文件工作成果
票制,文件工作成果
分区制,文件工作成果
票制,文件工作成果
计程计时制,文件工作成果
票制,文件工作成果
计程限时制,文件工作成果
票制,文件工作成果
计次制,文件工作成果
计程限时制,文件工作成果
行车指挥,专有名词
现代运营管理需要,文件工作成果
防灾安全,专有名词
现代运营管理需要,文件工作成果
乘客服务,专有名词
现代运营管理需要,文件工作成果
控制中心子系统,物理工作成果
乘客信息系统,物理工作成果
车站子系统,物理工作成果
乘客信息系统,物理工作成果
车载子系统,物理工作成果
乘客信息系统,物理工作成果
网络子系统,物理工作成果
乘客信息系统,物理工作成果
广告管理子系统,物理工作成果
乘客信息系统,物理工作成果
信息源,专有名词
控制功能,行为(机器行为、人类行为)
中心播出控制层,专有名词
控制功能,行为(机器行为、人类行为)
车站/车载播出控制层,专有名词
控制功能,行为(机器行为、人类行为)
车站/车载播出设备,专有名词
控制功能,行为(机器行为、人类行为)
数字式,属性值
时间信息显示方式,属性名
模拟指针式,属性值
时间信息显示方式,属性名
通道门,工具
监控对象,组织角色
设备房,物理工作成果
监控对象,组织角色
控制室,建筑
监控对象,组织角色
档案库房,建筑
其他监控对象,专有名词
财务室(库房),建筑
其他监控对象,专有名词
材料库房,建筑
其他监控对象,专有名词
培训设备室,建筑
其他监控对象,专有名词
重要维修,行为(机器行为、人类行为)
其他监控对象,专有名词
测试设备,物理工作成果
其他监控对象,专有名词
线网中央级系统,抽象施工元素
门禁系统,抽象施工元素
线路中央级系统,抽象施工元素
门禁系统,抽象施工元素
车站级系统,抽象施工元素
门禁系统,抽象施工元素
现场级系统,抽象施工元素
门禁系统,抽象施工元素
终端设备,物理施工元素
门禁系统,抽象施工元素
传输网络,物理施工元素
门禁系统,抽象施工元素
电源,工具
门禁系统,抽象施工元素
门禁卡,物理施工元素
门禁系统,抽象施工元素
服务器,专有名词
线网中央级系统,物理施工元素
监控管理工作站,建筑
线网中央级系统,物理施工元素
授权工作站,建筑
线网中央级系统,物理施工元素
授权读卡器,工具
线网中央级系统,物理施工元素
打印机,工具
线网中央级系统,物理施工元素
局域网设备,工具
线网中央级系统,物理施工元素
不间断电源,工具
线网中央级系统,物理施工元素
服务器,专有名词
线路中央级系统,抽象施工元素
监控管理工作站,专有名词
线路中央级系统,抽象施工元素
授权工作站,专有名词
线路中央级系统,抽象施工元素
授权读卡器,专有名词
线路中央级系统,抽象施工元素
打印机,专有名词
线路中央级系统,抽象施工元素
局域网设备,工具
线路中央级系统,抽象施工元素
不间断电源,工具
线路中央级系统,抽象施工元素
车站工作站,建筑
车站级系统,抽象施工元素
授权读卡器,工具
车站级系统,抽象施工元素
打印机,工具
车站级系统,抽象施工元素
局域网设备,物理工作成果
车站级系统,抽象施工元素
不间断电源,工具
车站级系统,抽象施工元素
运营控制中心(OCC),建筑
地铁,建筑
运营监控区,空间
控制中心,建筑
运营管理区,空间
控制中心,建筑
设备区,空间
控制中心,建筑
维修区,空间
控制中心,建筑
辅助设备区,空间
控制中心,建筑
门体,属性名
站台门系统,物理工作成果
门机,属性名
站台门系统,物理工作成果
电源,专有名词
站台门系统,物理工作成果
控制,专有名词
站台门系统,物理工作成果
固定门,物理工作成果
站台门,物理工作成果
滑动门,物理工作成果
站台门,物理工作成果
应急门,物理工作成果
站台门,物理工作成果
中央控制盘,工具
站台门控制系统,物理工作成果
就地控制盘,工具
站台门控制系统,物理工作成果
门控单元,工具
站台门控制系统,物理工作成果
就地控制盒,物理工作成果
站台门控制系统,物理工作成果
控制局域网,物理工作成果
站台门控制系统,物理工作成果
接口模块,物理工作成果
站台门控制系统,物理工作成果
车辆段(停车场),空间
设计,文件工作成果
综合维修中心,空间
设计,文件工作成果
物资总库,空间
设计,文件工作成果
培训中心,空间
设计,文件工作成果
生产,行为(机器行为、人类行为)
设计,文件工作成果
办公,行为(机器行为、人类行为)
设计,文件工作成果
坑深,属性名
规定,文件名
检查坑,空间
规定,文件名
列检检查坑,空间
规定,文件名
技术措施,抽象施工元素
雨水集蓄设施,抽象施工元素
部位,空间位置
车站站台,空间
部位,空间位置
楼板,物理施工元素
部位,空间位置
楼梯,物理工作成果
耐久性要求,文件工作成果
抗压,属性名
耐久性要求,文件工作成果
抗裂,属性名
耐久性要求,文件工作成果
抗冻,属性名
耐久性要求,文件工作成果
抗侵蚀性,属性名
双道防线,专有名词
防水混凝土,物理施工元素
双道防线,专有名词
全包防水层,抽象施工元素
部位,空间位置
车站站台,空间
部位,空间位置
楼板,物理施工元素
部位,空间位置
楼梯,物理工作成果
综合防治措施,抽象施工元素
噪声,属性名
综合防治措施,抽象施工元素
振动,属性名
资源,抽象施工元素
用房,空间
共享,行为(机器行为、人类行为)
设备,抽象施工元素
共享,行为(机器行为、人类行为)
资源,抽象施工元素
附属设施,抽象施工元素
声屏障,物理施工元素
附加荷载,属性名
风荷载,属性名
排水设施,抽象施工元素
桥涵,物理施工元素
排水设施,抽象施工元素
隧道,物理施工元素
排水设施,抽象施工元素
车站,建筑
因素,专有名词
河流特性,属性名
因素,专有名词
水流性质,属性名
因素,专有名词
河道形状,属性名
因素,专有名词
地质条件,属性名
设施,抽象施工元素
通风,环境条件
设施,抽象施工元素
照明,环境条件
设施,抽象施工元素
卫生,环境条件
设施,抽象施工元素
防灾,环境条件
两类,专有名词
活动,行为(机器行为、人类行为)
两类,专有名词
固定,行为(机器行为、人类行为)
构件,物理施工元素
楼板,物理施工元素
因素,专有名词
工程地质,物理施工元素
因素,专有名词
水文地质,物理施工元素
因素,专有名词
埋深,行为(机器行为、人类行为)
因素,专有名词
安全,效用(充当形容词)
因素,专有名词
交通条件,专有名词
因素,专有名词
投资,行为(机器行为、人类行为)
有关顶进桥涵的规定,文件工作成果
《铁路桥涵设计基本规范》TB 10002．1,文件工作成果
因素,专有名词
结构形式,抽象施工元素
因素,专有名词
受力要求,文件工作成果
因素,专有名词
施工方法,抽象施工元素
因素,专有名词
气象条件,环境条件
因素,专有名词
变形缝,专有名词
因素,专有名词
间距,属性名
具体情况,专有名词
工程地质水文地质条件,环境条件
具体情况,专有名词
风险源的种类,属性名
具体情况,专有名词
风险的性质,属性名
具体情况,专有名词
接近程度,专有名词
双道防水,行为(机器行为、人类行为)
吉那和欧米茄止水带,物理施工元素
地下车站,建筑
地铁内部空气环境范围,空间位置
区间隧道,建筑
地铁内部空气环境范围,空间位置
地面车站,建筑
地铁内部空气环境范围,空间位置
高架车站,建筑
地铁内部空气环境范围,空间位置
组织运行,行为(机器行为、人类行为)
全封闭式,属性值
设计,行为(机器行为、人类行为)
安防设施,抽象施工元素
监控,行为(机器行为、人类行为)
安全防护系统,抽象施工元素
主要客运通道,空间
城市客运量大,效用(充当形容词)
城市总体规划,行为(机器行为、人类行为)
政府主管部门,组织角色
城市轨道交通线网规划,行为(机器行为、人类行为)
政府主管部门,组织角色
近期建设规划,行为(机器行为、人类行为)
政府主管部门,组织角色
双线线路,物理施工元素
右侧行车,属性名
文件,文件工作成果
政府主管部门,组织角色
线路,空间
各,效用(充当形容词)
批准,行为(机器行为、人类行为)
政府主编部门,组织角色
设计运输能力,属性名
相应年限,专有名词
《城市轨道交通技术规范》GB 50490,文件名
现行国家标准,文件工作成果
地铁运营线路,专有名词
首条,效用(充当形容词)
每条,效用(充当形容词)
后建,效用(充当形容词)
线路,专有名词
每条,效用(充当形容词)
《地铁车辆通用技术条件》GB/T 7928,文件名
现行国家标准,文件工作成果
有关规定,专有名词
《地铁车辆通用技术条件》GB/T 7928,文件名
《城市轨道交通车辆组装后的检查与试验规则》GB/T 14894,文件名
现行国家标准,文件工作成果
有关规定,专有名词
《城市轨道交通车辆组装后的检查与试验规则》GB/T 14894,文件名
设施,物理施工元素
内部,效用(充当形容词)
阻燃材料,材质
无卤,材质
阻燃材料,材质
低烟,材质
侵袭,行为(机器行为、人类行为)
风,环境条件
侵袭,行为(机器行为、人类行为)
沙,环境条件
侵袭,行为(机器行为、人类行为)
雨,环境条件
侵袭,行为(机器行为、人类行为)
雪,环境条件
第6.2.1条,文件名
规范,文件工作成果
受电,行为(机器行为、人类行为)
接触网受电弓,物理施工元素
受电,行为(机器行为、人类行为)
接触轨受流器,物理施工元素
车,物理施工元素
新造,效用(充当形容词)
动车,物理施工元素
同一,效用(充当形容词)
3％,属性值
重量值,属性值
起动,行为(机器行为、人类行为)
列车,物理施工元素
地铁车辆,物理施工元素
同一城市,效用(充当形容词)
车辆,物理施工元素
两节,属性值
车辆,物理施工元素
连接,效用(充当形容词)
抗拉强度,属性名
足够,效用(充当形容词)
墙板,物理工作成果
内外,空间位置
隔热,环境条件
吸湿性小,效用(充当形容词)
隔热,环境条件
膨胀率低,效用(充当形容词)
隔热,环境条件
性能稳定,效用(充当形容词)
隔声,环境条件
吸湿性小,效用(充当形容词)
隔声,环境条件
膨胀率低,效用(充当形容词)
隔声,环境条件
性能稳定,效用(充当形容词)
材料,属性名
隔热,环境条件
材料,属性名
隔声,环境条件
供电,行为(机器行为、人类行为)
浮充电蓄电池,工具
《铁路应用 机车车辆电气设备 第Ⅰ部分：一般使用条件和通用规则》GB/T 21413.1,文件名
现行行业标准,文件工作成果
系统,抽象施工元素
车门控制,行为(机器行为、人类行为)
系统,抽象施工元素
应急通风,行为(机器行为、人类行为)
系统,抽象施工元素
应急照明,行为(机器行为、人类行为)
系统,抽象施工元素
外部照明,行为(机器行为、人类行为)
系统,抽象施工元素
车载安全设备,物理施工元素
系统,抽象施工元素
通信,行为(机器行为、人类行为)
系统,抽象施工元素
广播,行为(机器行为、人类行为)
后,效用(充当形容词)
45min,属性值
一次,属性值
开关门,行为(机器行为、人类行为)
安装,行为(机器行为、人类行为)
二级绝缘,属性值
短路保护用空气断路器,工具
正极,属性值
短路保护用空气断路器,工具
负极,属性值
列车,物理施工元素
其他,效用(充当形容词)
车辆,物理施工元素
端部,空间位置
车辆,物理施工元素
各,效用(充当形容词)
之间,空间位置
车辆,物理施工元素
列车,物理施工元素
过站限界,属性名
列车,物理施工元素
区间限界,属性名
坐标系,专有名词
建筑限界,属性名
平面直角坐标,专有名词
轨道中心线,抽象施工元素
两钢轨轨顶中心连线,抽象施工元素
通过,空间位置
中点,空间位置
两钢轨轨顶中心连线,抽象施工元素
水平坐标轴,专有名词
中点,空间位置
隧道,建筑
单线圆形,属性值
隧道,建筑
单线马蹄形,属性值
安全间隙,属性名
100mm,属性值
设备限界,属性名
相邻两线,空间位置
安全间隙,属性名
50mm,属性值
电设备,物理施工元素
强,效用(充当形容词)
电设备,物理施工元素
弱,效用(充当形容词)
线路两侧,空间位置
分别,空间位置
规定,属性名
电干扰距离,属性名
电干扰距离,属性名
强,效用(充当形容词)
电干扰距离,属性名
弱,效用(充当形容词)
道岔转辙机,工具
单渡线区域,空间
道岔转辙机,工具
交叉渡线区域,空间
高架区间,空间
双线,属性值
设备,物理施工元素
弱电,效用(充当形容词)
设备,物理施工元素
强电,效用(充当形容词)
结构墙,物理工作成果
站台板下,空间位置
电缆通道,空间
站台内,空间位置
结构墙体,物理工作成果
站台板下,空间位置
功能定位,专有名词
运营,行为(机器行为、人类行为)
特殊地形地区,空间
山地城市,专有名词
比较,行为(机器行为、人类行为)
技术经济,效用(充当形容词)
排水措施,物理施工元素
有效,效用(充当形容词)
坡段,空间
竖曲线,属性值
坡段,空间
缓和曲线,属性值
坡段,空间
超高顺,属性值
钢轨,物理施工元素
每条,效用(充当形容词)
中间站,建筑
一般,效用(充当形容词)
道岔,物理施工元素
单渡线,空间
道岔,物理施工元素
单渡线,空间
道岔,物理施工元素
其他配线,空间
单渡线,空间
站前,空间位置
强度,属性名
足够,效用(充当形容词)
弹性,属性名
适量,效用(充当形容词)
现代化,效用(充当形容词)
检测,行为(机器行为、人类行为)
设备,物理施工元素
维修,行为(机器行为、人类行为)
设备,物理施工元素
检测,行为(机器行为、人类行为)
机械化,效用(充当形容词)
维修,行为(机器行为、人类行为)
地段,空间
不足50m,属性值
曲线地段,空间
250m,属性值
递减,行为(机器行为、人类行为)
直线地段,空间
无砟道床地段,空间
隧道内,空间位置
无砟道床地段,空间
U形结构,属性值
1/2,属性值
外轨抬高超高值,属性值
1/2,属性值
内轨降低超高值,属性值
内,空间位置
缓和曲线,空间
长度不足,效用(充当形容词)
缓和曲线,空间
递减,行为(机器行为、人类行为)
直线段,空间
道床结构,物理施工元素
一种,属性值
曲线地段,空间
200m,属性值
钢轨,物理施工元素
不同类型,效用(充当形容词)
连接,行为(机器行为、人类行为)
异型钢轨,属性值
零部件,专有名词
扣件,物理施工元素
一致,效用(充当形容词)
类型,属性名
钢轨,物理施工元素
相邻区间,空间位置
钢轨,物理施工元素
相邻区间,空间位置
扣压件,物理施工元素
相邻区间,空间位置
道床结构,物理施工元素
不同,效用(充当形容词)
减振地段,属性名
不同,效用(充当形容词)
无砟道床,物理工作成果
正线,空间
无砟道床,物理工作成果
出入线,空间
无砟道床,物理工作成果
试车线,空间
设计,行为(机器行为、人类行为)
一次铺设无缝线路,属性值
设置,行为(机器行为、人类行为)
一个单元轨节,属性值
工程,专有名词
每个,效用(充当形容词)
减振轨道类型,属性名
过多,效用(充当形容词)
减振产品,专有名词
过多,效用(充当形容词)
标志,专有名词
各种,效用(充当形容词)
标志,专有名词
其余,效用(充当形容词)
位置,空间位置
司机易见,效用(充当形容词)
位置,空间位置
右侧,空间位置
主要材料,专有名词
地下使用,行为(机器行为、人类行为)
阻燃,属性名
无卤,属性名
阻燃,属性名
低烟,属性名
耐火,属性名
无卤,属性名
耐火,属性名
低烟,属性名
产品,专有名词
阻燃,属性名
产品,专有名词
耐火,属性名
用电负荷,专有名词
动力照明,专有名词
变电所,建筑
各类,属性值
电源,物理施工元素
双重,属性值
进线电源,物理施工元素
每个,属性值
要求,文件工作成果
变电所一、二级负荷,专有名词
牵引整流机组,物理施工元素
两套,属性值
牵引整流机组,物理施工元素
一套,属性值
供电分区,空间
同一,属性值
牵引变电所,建筑
两相邻,属性名
折返线,空间
不设车辆检查坑,环境条件
两座,属性值
相邻,空间位置
牵引变电所,建筑
两座,属性值
牵引整流机组,物理施工元素
两套,属性值
低压母线,物理施工元素
两段,属性值
蓄电池,物理施工元素
正常运行,环境条件
连续供电,行为(机器行为、人类行为)
交流停电,环境条件
铝合金汇流排,物理施工元素
“Π”形,属性值
铝合金汇流排,物理施工元素
“T”形,属性值
架空接触网,物理工作成果
地上区段,空间
架空接触网,物理工作成果
地上区段,空间
架空地线,物理工作成果
每隔200m,环境条件
回路,抽象施工元素
同一重要,效用(充当形容词)
支架,物理施工元素
不同层,空间位置
电力电缆,物理施工元素
单洞单线隧道内,空间
左侧,属性名
沿行车方向,环境条件
电力电缆,物理施工元素
单洞双线隧道内,空间
手动隔离开关,物理施工元素
带接地刀闸,环境条件
衔接处,空间位置
车辆基地,空间
衔接处,空间位置
正线,空间
远期负荷,专有名词
大双边供电,行为(机器行为、人类行为)
电缆根数,属性值
回路,抽象施工元素
安装位置,空间位置
接触轨,物理施工元素
安装误差,属性名
接触轨,物理施工元素
可靠接触确定,行为(机器行为、人类行为)
相对运动,专有名词
接地方式,文件工作成果
金属层,材质
要求,文件工作成果
金属层,材质
车站公共区,空间
地下,空间位置
线路,抽象施工元素
地上,空间位置
管材,物理施工元素
硬质非金,材质
管材,物理施工元素
轨道下,空间位置
需要,文件工作成果
系统稳定与发展,环境条件
运行要求,文件工作成果
变电所无人值守,环境条件
监测情况,专有名词
杂散电流,专有名词
接地线,物理施工元素
变电所,建筑
最大值,属性名
保护地线截面,空间位置
要求,文件工作成果
电磁兼容性,属性名
具体位置,空间位置
均流线,物理施工元素
电缆,物理施工元素
具体位置,空间位置
供电,行为(机器行为、人类行为)
一级负荷,专有名词
通信设备,物理施工元素
交流供电,行为(机器行为、人类行为)
集中供电,行为(机器行为、人类行为)
交流不间断电源方式,文件工作成果
接地系统设计,行为(机器行为、人类行为)
通信设备,物理施工元素
正常运行,行为(机器行为、人类行为)
通信设备,物理施工元素
网络管理系统间,空间
集中告警系统,抽象施工元素
网络管理系统间,空间
通信各子系统,抽象施工元素
硬件接口,抽象施工元素
标准,效用(充当形容词)
硬件接口,抽象施工元素
通用,效用(充当形容词)
通信协议,文件工作成果
标准,效用(充当形容词)
通信协议,文件工作成果
通用,效用(充当形容词)
托板,工具
隧道内,空间位置
托架,工具
隧道内,空间位置
线缆,物理施工元素
隧道内,空间位置
设置,行为(机器行为、人类行为)
托板,工具
设置,行为(机器行为、人类行为)
托架,工具
设置,行为(机器行为、人类行为)
线缆,物理施工元素
设置,行为(机器行为、人类行为)
车载台无线天线,工具
径路,抽象施工元素
不同,效用(充当形容词)
光缆,物理施工元素
径路,抽象施工元素
敷设,行为(机器行为、人类行为)
分开,效用(充当形容词)
材料,抽象施工元素
无卤,材质
材料,抽象施工元素
低烟,材质
材料,抽象施工元素
阻燃,材质
通信主干电缆,物理施工元素
地下线路,抽象施工元素
光缆,物理施工元素
地下线路,抽象施工元素
防护层,属性名
抗电气化干扰,属性名
布置,行为(机器行为、人类行为)
合理,效用(充当形容词)
地区用户线传输衰耗,属性名
所管辖范围,环境条件
视觉信息,专有名词
列车运行,专有名词
视觉信息,专有名词
防灾,专有名词
视觉信息,专有名词
救灾,专有名词
视觉信息,专有名词
乘客疏导,专有名词
设备,物理施工元素
图像摄取,专有名词
设备,物理施工元素
图像显示,专有名词
设备,物理施工元素
录像,行为(机器行为、人类行为)
设备,物理施工元素
视频信号传输,专有名词
功能,行为(机器行为、人类行为)
监视,专有名词
功能,行为(机器行为、人类行为)
控制优先级,专有名词
功能,行为(机器行为、人类行为)
循环显示,专有名词
功能,行为(机器行为、人类行为)
任意定格与锁闭,专有名词
功能,行为(机器行为、人类行为)
图像选择,专有名词
功能,行为(机器行为、人类行为)
不间断实时录像,专有名词
功能,行为(机器行为、人类行为)
摄像范围控制,专有名词
功能,行为(机器行为、人类行为)
字符叠加,专有名词
功能,行为(机器行为、人类行为)
远程电源控制,专有名词
专用直通电话,物理施工元素
车站,建筑
专用直通电话,物理施工元素
车辆基地,空间
行车值班员,组织角色
车站,建筑
处所,组织角色
行车值班员,组织角色
行车值班员,组织角色
车辆基地信号楼,建筑
处所,组织角色
行车值班员,组织角色
处所,组织角色
电力值班人员,组织角色
处所,组织角色
防灾环控值班人员,组织角色
行车和防灾广播,抽象施工元素
正线运营广播系统,抽象施工元素
区域,空间
行车和防灾广播,抽象施工元素
10-7,属性值
以上,效用(充当形容词)
10-6,属性值
以上,效用(充当形容词)
多路输出接口,抽象施工元素
数字式,效用(充当形容词)
多路输出接口,抽象施工元素
指针式,效用(充当形容词)
信息平台,抽象施工元素
电子办公,专有名词
信息平台,抽象施工元素
信息发布,专有名词
信息平台,抽象施工元素
日常运作和管理,行为(机器行为、人类行为)
信息平台,抽象施工元素
资源管理,专有名词
信息平台,抽象施工元素
人员交流,行为(机器行为、人类行为)
需求,文件工作成果
运营单位,组织角色
供电需求,文件工作成果
设备,物理施工元素
地下车站,建筑
地铁范围内,空间
隧道空间,空间
地铁范围内,空间
城市公安无线通信系统,抽象施工元素
既有,效用(充当形容词)
原则,文件工作成果
设备合理布置,行为(机器行为、人类行为)
设计,行为(机器行为、人类行为)
地铁通信设备用房,建筑
合理要求,文件工作成果
通信设备,物理施工元素
合理要求,文件工作成果
布线,行为(机器行为、人类行为)
原则,文件工作成果
故障导向安全,专有名词
安全系统,抽象施工元素
采用,效用(充当形容词)
设备,物理施工元素
采用,效用(充当形容词)
需要,文件工作成果
地铁行车组织,专有名词
需要,文件工作成果
运营管理,专有名词
运营要求,文件工作成果
地铁大运量,专有名词
运营要求,文件工作成果
高密度行车,专有名词
运营要求,文件工作成果
不同列车编组,专有名词
运营要求,文件工作成果
行车交路,专有名词
维护管理,行为(机器行为、人类行为)
现代化,效用(充当形容词)
需求,文件工作成果
维护管理,行为(机器行为、人类行为)
超出,行为(机器行为、人类行为)
严禁,效用(充当形容词)
侵入,行为(机器行为、人类行为)
严禁,效用(充当形容词)
信号设备,物理施工元素
高架,物理工作成果
信号设备,物理施工元素
地面线路,抽象施工元素
列车控制方式,文件工作成果
连续式,效用(充当形容词)
首尾两端,空间位置
运营列车,物理施工元素
AFC系统,抽象施工元素
不同水平,环境条件
需要,文件工作成果
线网运营和管理,专有名词
密钥系统,抽象施工元素
统一的,效用(充当形容词)
车票制式标准,文件工作成果
统一的,效用(充当形容词)
功能,属性名
用户权限管理,行为(机器行为、人类行为)
接口,抽象施工元素
相关系统,抽象施工元素
各种,属性值
地铁,物理施工元素
要求,文件工作成果
运营模式,专有名词
设备,物理施工元素
操作简单,属性名
设备,物理施工元素
方便快速,属性名
信息提示,行为(机器行为、人类行为)
清晰,效用(充当形容词)
能力,专有名词
连续24h不间断工作,效用(充当形容词)
专用传输通道,抽象施工元素
自动售检票系统,抽象施工元素
三级网络,物理工作成果
之间,效用(充当形容词)
中央计算机系统,抽象施工元素
线路,抽象施工元素
中央计算机系统之间,空间位置
线路,抽象施工元素
通信协议,文件工作成果
标准开放,效用(充当形容词)
网络通信接口,抽象施工元素
“一卡通”系统,抽象施工元素
网络通信接口,抽象施工元素
中央计算机系统之间,空间位置
储值票,专有名词
乘客,组织角色
设置,行为(机器行为、人类行为)
自动检票机,物理施工元素
要求,文件工作成果
通道,抽象施工元素
车站,建筑
时段客流方向明显,环境条件
独立,效用(充当形容词)
每个,属性值
付费区,空间
独立,效用(充当形容词)
空间,空间
排队购票,行为(机器行为、人类行为)
敷设,行为(机器行为、人类行为)
分管,行为(机器行为、人类行为)
敷设,行为(机器行为、人类行为)
分槽,行为(机器行为、人类行为)
位置,空间位置
围栏立柱,物理工作成果
要求,文件工作成果
设备尺寸,属性名
要求,文件工作成果
维护操作,行为(机器行为、人类行为)
信息传输网络,抽象施工元素
联动控制,属性名
触发装置,物理施工元素
自动,属性名
触发装置,物理施工元素
手动,属性名
车站封闭式,专有名词
地面,空间位置
车站封闭式,专有名词
高架,建筑
站厅,空间
车站封闭式,专有名词
场所,空间
火灾危险性,属性名
火灾自动报警探测器,物理施工元素
房间,空间
位置,空间位置
区间消火栓,物理施工元素
公共区域,空间
乘客活动,行为(机器行为、人类行为)
图形显示装置,物理施工元素
消防控制室,物理施工元素
消防控制室之间,空间位置
按线路设置,行为(机器行为、人类行为)
警报器,物理施工元素
声,专有名词
警报器,物理施工元素
光,专有名词
供电回路,抽象施工元素
专用,效用(充当形容词)
布线,行为(机器行为、人类行为)
封闭式线槽保护方式,文件工作成果
防火分区,空间
不同,环境条件
系统,抽象施工元素
事务数据管理,行为(机器行为、人类行为)
综合监控系统,抽象施工元素
车站,建筑
综合监控系统,抽象施工元素
车辆基地,空间
监控,专有名词
被集成系统,抽象施工元素
管理,专有名词
被集成系统,抽象施工元素
监控,行为(机器行为、人类行为)
时互联系统,抽象施工元素
联动控制功能,行为(机器行为、人类行为)
时互联系统,抽象施工元素
基础,专有名词
满足要求,行为(机器行为、人类行为)
基础,专有名词
满足要求,行为(机器行为、人类行为)
基础,专有名词
满足要求,行为(机器行为、人类行为)
故障信息,属性名
重要,效用(充当形容词)
工业级网络,抽象施工元素
可靠,属性名
工业级网络,抽象施工元素
可维护,属性名
工业级网络,抽象施工元素
易扩展,属性名
控制产品,抽象施工元素
可靠,属性名
控制产品,抽象施工元素
可维护,属性名
控制产品,抽象施工元素
易扩展,属性名
