ename1,ename2
不应小于250kg,额定载重
不宜大于1.2m,占用宽度
本规范第15.4.1条的规定,电线
本规范第15.4.1条的规定,电缆
气候环境条件,类型
车站建筑形式,类型
服务水平,类型
通风与空调制式,类型
安全,设计
可靠,设计
可维护,设计
可扩展,设计
本规范第5章的有关规定,设计荷载
各种运营模式的要求,配置
各种运营模式的要求,控制模式
不应少于30年,使用寿命
电磁兼容性要求,站台门系统
可调节,开、关过程时间
不应大于0.1s,重复精度
不应超过70dBA,噪声峰值
不应大于67N,手动解锁力
不应大于150N,动作力
不应小于60万个周期,平均无故障运行周期
每天运行20h,运行强度
每90s开/关1次,运行强度
全年连续运行的要求,运行强度
不应低于2m,滑动门
不应低于2m,应急门
不应低于2m,净高度
不应低于1.2m,高度
设计要求,强度
设计要求,刚度
保证最不利条件,功率
正常开关,站台门
站台门,功率
单位独立设置,车站
相互独立,供电回路
完成开、关滑动门三次循环的需要,储能
不应小于5MΩ,隔离阻抗
相互独立,配电电缆
相互独立,线槽
不应大于1Ω,接地电阻
无等电位要求,站台门
无等电位要求,列车车厢
不应大于1Ω,接地电阻
初、近、远期结合,设计
分期实施,设计
国家现行相关标准的规定,综合治理
车辆,设计
运营管理模式,生产机构
单独设置,双周/三月检库
单独设置,停车列检库(棚)
近期需要,规模
远期规模,双周/三月检库
车辆,各种库线
规定,设计
列车日常维修作业,车辆段
列车日常维修作业,停车场
工艺要求,房屋
不应影响作业,固定照明灯具
要求,地铁给水系统设计
原则,地铁给水系统设计
单独排放,生活及粪便污水
就近排放,生产废水
就近排放,结构渗漏水
就近排放,冲洗及消防废水
就近排放,口部雨水
使用要求,水质
排放,生产废水
排放,生活污水
排放,排放标准
远程控制,车站
远程控制,区间主排水泵
远程控制,洞口雨水泵
规定,排放
状态,排水设备
不高于35℃,温度
设计,空调与供暖系统
设计,通风
分期实施,设备
排除余热要求,活塞通风
设备,不能达到
不能达到,自然通风
结构使用要求,地下工程
抗渗等级要求,防水混凝土
耐久性要求,防水混凝土
密封垫沟槽,管片接缝密封垫
所处地区,温度变化影响
构造和结构受力要求,连接形式
构造和结构受力要求,机械性能等级
施工方法,地下结构形式
主体结构,轻质隔墙
主体结构,内部承重墙
主体结构,隔墙
基本原则,地下结构设计
工程地质,施工方法
水文地质条件,施工方法
无砟轨道铺设要求,桥梁
道岔转辙器,梁缝位置
能力保护原则,盖梁
能力保护原则,结点
能力保护原则,基础应作为能力保护构件
支座,有关要求
系统功能要求,车站设计
设备,车站设计
管理用房,车站设计
具体情况,售、检票方式
设置条件,分期实施
导向、事故疏散、服务乘客的标志,位置
导向、事故疏散、服务乘客的标志,色彩
要求,地面、高架车站
城市规划、景观及环保要求,冷却塔
工艺要求,冷却塔
超高峰设计换乘客流量,通过能力
气候条件,站台层
流量,横断面
用地情况,横断面
路基宽度,直线地段
折线形,曲线地段
规定,平面位置
市政排水设施,路基
排水畅通,排水设施
路基位置,沿河地段路基
因素,沿河地段路基
要求,总体布局
关系,车站
当地规划部门要求,出入口
当地规划部门要求,间距
当地防淹要求,地面标高
当地最高积水位,槽高
具体位置,建筑形式
周边规划要求,建筑形式
客流需求,车站设计
乘降安全,车站设计
疏导迅速,车站设计
布置紧凑,车站设计
便于管理,车站设计
短、直,地下出入口通道
5m,进风亭口部
5m,出入口口部
人流股数,楼梯宽度
建筑模数,楼梯宽度
人员疏散通行要求,应急门
站台计算长度,门前等候区
有关规定,坡道
有关规定,热工设计
要求,安全运行
要求,乘坐舒适
强度,结构
竖向刚度,结构
横向刚度,结构
整体性,结构
稳定性,结构
无砟轨道铺设要求,测点布置
无砟轨道铺设要求,观测频次
无砟轨道铺设要求,观测周期
要求,后期徐变量
行车方向,撞击力
横行车方向,撞击力
现行国家标准,地震力
现行行业标准,结构设计
现行行业标准,构造要求
现行国家标准,容许承载力
两类,板式橡胶支座
现行行业标准,橡胶板反力
厚度,砟下胶垫层
现行行业标准,高架结构
防锈处理,钢结构
防锈处理,钢连接件
检修车,宽度
检修作业要求,检修车
混凝土灌注,截面尺寸
振捣质量,截面尺寸
现行行业标准,截面最小尺寸
裂缝,结构
腐蚀环境,桥墩
冻融危害环境,部位
硅酸盐水泥,高架结构
分开布置,轨道梁
分开布置,车站结构
现行建筑结构设计规范,车站结构设计
区间桥梁,结构设计
独柱纵向间距,减小
现行国家标准,高架车站结构
《建筑抗震设计规范》GB 50011,现行国家标准
有关规定,《建筑抗震设计规范》GB 50011
完全分开布置,轨道梁
完全分开布置,车站结构
现行国家标准,轨道梁桥
现行国家标准,车站结构
《建筑抗震设计规范》GB 50011,轨道梁桥
《建筑抗震设计规范》GB 50011,车站结构
抗震设计,有关规定
区间桥梁,构造要求
现行国家标准,构造要求
有关建筑结构设计标准,构造要求
“结构为功能服务”为原则,地下结构设计
要求,地下结构设计
结构安全,地下结构设计
耐久,地下结构设计
技术先进,地下结构设计
经济合理,地下结构设计
线网规划,线路
节点结构形式,线路
同步实施,线路
远期实施条件,线路
特点,设计
具体情况,设计
综合评价,技术
综合评价,经济
综合评价,工期
综合评价,环境影响
施工方法,综合评价
结构型式,综合评价
现行行业标准,地下结构
实际轴重,构件
竖向荷载作用,构件
线路,构件
实际情况,计算荷载
现行行业标准,隧道
现行行业标准,荷载
《铁路桥涵设计基本规范》TB 10002．1,现行行业标准
水泥用量,高水化热水泥
水胶比,混凝土
混凝土入模温度,混凝土
构造和结构受力要求,连接形式
构造和结构受力要求,机械性能等级
因素,施工方法
要求,分节长度
防水要求,变形量
现行行业标准,设计
《铁路桥涵设计基本规范》TB 10002．1,现行行业标准
因素,施工缝位置及间距
“以防为主，刚柔结合，多道设防，因地制宜，综合治理”的原则,地下工程防水
定级准确,防水设计
方案可靠,防水设计
施工简便,防水设计
经济合理,防水设计
线路设施,结构
结构,结构
环境安全,结构
现行国家标准,建筑屋面
现行国家标准,结构防水
施工环境条件,防水
结构构造型式,防水
防水等级要求,防水
选用卷材防水层,防水
涂料防水层,防水
塑料防水板防水层,防水
膨润土防水层,防水
物理力学性能,厚度
施工工艺,厚度
技术要求,管片接缝密封垫
埋深水压,止水带
长期密封止水要求,止水带
生理及心理条件要求,通风
需要,通风
生理及心理条件要求,空调与供暖系统
需要,空调与供暖系统
地铁内部空气环境,通风
地铁内部空气环境,空调与供暖系统
