ename1,ename2
长度,地下区间隧道
设置位置,区间手动报警按钮
消防控制室,换乘车站
声,火灾
光,火灾
工作状态,警报器
负荷等级,主电源
图形显示装置,火灾自动报警系统
电源,图形显示装置
电源,消防通信设备
配电线路,消防用电设备
控制回路,消防用电设备
传输线路,火灾自动报警系统
传输线路,火灾自动报警系统
线路,防火分区
骨干网,综合监控系统
运营数据统计,运营辅助管理功能
操作员培训,运营辅助管理功能
决策支持,运营辅助管理功能
开关门状态,站台门
故障信息,站台门
控制器,环境与设备监控系统
计算机设备,环境与设备监控系统
终端显示设备,乘客信息系统
监控对象,环境与设备监控系统
管理,车站环境
管理,设备
停车位置,列车区间
管理,车站环境和设备
统计和分析,能耗数据
编制,应用软件
传输,网络
交换,网络
数据,传输
数据,交换
数据,系统网络
第15.4.1条,本规范
规定,第15.4.1条
电缆,地下车站
电缆,区间环境
电缆,设备监控系统
管线,环境与设备监控系统
数据传输机制,数据流
布线,环境与设备监控系统
电磁干扰,周围环境
信号线,环境与设备监控系统
电源线,环境与设备监控系统
屏蔽层,系统
连续性,屏蔽层
电缆,环境与设备监控系统
屏蔽层,电缆
现场机柜,环境与设备监控系统
信息采集,乘客信息系统
传输,乘客信息系统
显示,乘客信息系统
控制功能,乘客信息系统
时间信息显示方式,乘客信息系统
综合监控系统信息,乘客信息系统
综合监控系统信息,信号系统接口
调停,列车
折返,列车
回库,列车
接口,乘客信息系统
接口,综合监控系统
负荷等级,乘客信息系统
接地电阻,乘客信息系统
数据线,乘客信息系统
电源线,乘客信息系统
涉及安全的,地铁
系统,地铁
设备用房门,地铁
管理用房门,地铁
设计,系统
设计,设备
授权卡,门禁系统
时钟同步,线网
时钟同步,线路
时钟同步,车站内
对象,明确
安全等级,明确
监控对象,控制中心
通道门,中央控制室
监控对象,主变电所
通道门,主变电所
监控管理层系统,门禁系统
后备时间,系统
通用授权卡,车站控制室
设备,系统
管线,系统
位置,门禁车站级系统
安装,控制按钮
接地电阻,系统接地
建设模式,控制中心
规模,控制中心
总体规划,建设模式
线路,建设模式
总体规划,规模
设置,总体规划
设置,线路
位置,控制中心
中心地带,监控管理对象
方便运营管理,监控管理对象
工艺设计,控制中心
整体工艺设计,控制中心
功能要求,维护管理室
功能要求,值班
线路,维修区
顶层,高层建筑
地下,高层建筑
工艺要求,系统设备
电线,中央控制室
电缆,中央控制室
管线,中央控制室
接地电阻,控制中心
空调系统,中央控制室
空调系统,运营管理区
空调系统,设备区
照明,设备房
照明,维修用房
照明,办公管理用房
照明,其他各部位
应急照明,控制中心
中央控制室,控制中心
应急工作照明,应急照明
应急照明,应急工作照明
分区出入口,控制中心
主要通道,控制中心
重要房间,控制中心
传输设备,自动扶梯
传输设备,自动人行道
电线,自动扶梯
电线,自动人行道
电缆,自动扶梯
电缆,自动人行道
倾斜角度,自动人行道
倾斜角度,自动扶梯
梯级净宽,自动人行道
曲率半径,自动扶梯
曲率半径,自动扶梯
各支点,自动扶梯
各支点,自动人行道
安装位置,自动扶梯
安装位置,自动人行道
监控,车站BAS
井道壁,电梯
底面,电梯
顶板,电梯
底坑,电梯
各项设施,电梯
设施,电梯
供电,设施
额定载重,电梯
额定速度,电梯
电线,电梯
电缆,电梯
井道,电梯
井道顶部,无机房电梯
安装位置,电梯
诱导缝,土建结构
变形缝,土建结构
设置处,轮椅升降机
可视对讲装置,车站控制室
平台面,轮椅升降机
平台四周,轮椅升降机
额定速度,轮椅升降机
额定载重,轮椅升降机
占用宽度,轮椅升降机
上下停靠位置,轮椅升降机
停靠方式,上下停靠位置
电线,轮椅升降机
电缆,轮椅升降机
车站,新建线路
类型,站台门
设计,站台门系统
设计荷载,站台门
主要装置,站台门系统
配置,站台门系统
控制模式,站台门系统
设置区域,站台门
门体结构,站台门
电气控制设备,站台门
防护等级,电气控制设备
整体钢结构,站台门
使用寿命,整体钢结构
系统,低压配电
开、关过程时间,滑动门
开关过程时间,列车门
重复精度,开、关过程时间
噪声峰值,站台门
手动解锁力,滑动门
手动解锁力,应急门
手动解锁力,端门
平均无故障运行周期,系统
每侧站台门,站台门
两端,每侧站台门
滑动门,站台门
位置,滑动门
数量,滑动门
滑动门,高站台门
应急门,高站台门
净高度,高站台门
高度,低站台门门体
范围内的适当位置,站台门
站台,范围内的适当位置
应急门,站台
数量,应急门
连接部分,车站结构
强度,连接部分
刚度,连接部分
功率,直流永磁电机
重要状态,站台门
故障信息,站台门
关键命令,站台门
响应,站台门
状态,站台门系统
监视系统,站台门
探测,障碍物探测功能
最小宽度,探测
门控单元,中央控制盘
供电,站台门系统
供电回路,驱动电源
供电回路,控制电源
驱动后备电源,站台门
储能,驱动后备电源
系统控制电源模块,站台门
隔离阻抗,驱动电源
隔离阻抗,控制电源
隔离阻抗,外电源
配电电缆,站台门
控制电缆,站台门
线槽,控制电缆
设备室,站台门
设备,设备室
接地电阻,设备
接地电阻,站台门
设计,车辆基地
设计,车辆基地
用地范围,车辆基地
设计,车辆段
设计,停车场
技术条件,车辆
参数,车辆
空气压缩机间,车辆段
变配电所,车辆段
给水所,车辆段
锅炉房,车辆段
出入线,车辆基地
试车线,车辆基地
洗车线,车辆基地
镟轮线,车辆基地
车场线群外侧,车辆基地
生产机构,车辆段
设计,车辆基地
规模,运用库
双周/三月检库,规模
远期扩建,双周/三月检库
各种库线,运用库
受电方式,车辆
设计,列检列位
两端,检查坑
坑内,检查坑
长度,列检检查坑
两端咽喉区,联系车场
走行线,两端咽喉区
维修,车载通信信号设备
车辆内部清扫,车载通信信号设备
工具存放,车载通信信号设备
备品存放,车载通信信号设备
工作人员,车载通信信号设备
房屋,车辆段
房屋,停车场
列车运转调度,车辆段
列车运转调度,停车场
检修调度,车辆段
检修调度,停车场
防灾调度,车辆段
防灾调度,停车场
固定照明灯具,列检库检查坑
要求,水量
要求,水压
要求,水质
水量,生产、生活和消防用水
水压,生产、生活和消防用水
水质,生产、生活和消防用水
生活及粪便污水,地铁车站
生产废水,地铁车站
结构渗漏水,地铁车站
冲洗及消防废水,地铁车站
口部雨水,地铁车站
水质,车辆基地
内部冲厕、绿化及地面冲洗水,车辆基地
城市杂用水系统,车辆基地
废水,洗车库
排放标准,不符合国家规定
城市污水排水系统,车辆基地附近
生产废水,车辆基地附近
生活污水,车辆基地附近
生产废水,内部
生活污水,内部
重复利用,雨水
各类污、废水,地铁工程
雨水,地铁工程
规定,国家现行有关排水标准
规定,排水体制
壁板或底板,屋面或钢筋混凝土水池(箱)
壁板或底板,地下结构外墙
车辆基地,地区
公共浴室,车辆基地
食堂,车辆基地
司机公寓,车辆基地
热水系统,公共浴室
热水系统,食堂
热水系统,司机公寓
变坡最高点,室外给水管
最低点,室外给水管
状态及液位信息,设备运行
状态及液位信息,手/自动
状态及液位信息,故障
两端,车站
通风与空调系统,地下车站公共区
温度,站厅
温度,站台
失效,系统某一局部
人群均布荷载,部位
标准值,人群均布荷载
远期客流量,地铁预测
设计,远期客流量
设计,最大的通过能力
通风,地铁
配置,近期
配置,远期
配置,设备
正常通风,区间隧道
新鲜空气量,每小时
新鲜空气量,乘客
新风量,系统
10％,总送风量
10％,不应少于
新鲜空气量,需供应
新鲜空气量,管理用房
新鲜空气量,地下车站设备
10％,总风量
10％,不应少于
通风系统,车站设备
空调系统,车站设备
通风系统,管理用房
空调系统,管理用房
噪声,各房间内
室外平均温度,最冷月份
严寒地区,室外平均温度
站台,车站
供暖装置,可不设
自防水,混凝土结构
所处的环境,地下工程
工作条件,地下工程
混凝土垫层,防水混凝土结构底板
强度等级,混凝土垫层
厚度,混凝土垫层
软弱土层,防水混凝土结构底板
防水,地下结构
防水,明挖法施工
自防水,钢筋混凝土结构
局部,结构型式
全部,结构型式
地下结构,明挖敞口放坡施工
地下结构,复合墙
厚度,塑料防水板
防水板表面,塑料防水板
变形缝部位,塑料防水板
防水板,平面铺设
表面,防水板
截面积,密封垫沟槽
1倍～1．15倍,密封垫截面积
温度变化影响,隧道结构
气温条件,所处地区
运营环境,所处地区
施工条件,所处地区
连接形式,连接紧固件
连接形式,钢筋混凝土管片间
机械性能等级,钢筋混凝土管片间
表面,钢筋混凝土管片间
材料,地下环境无污染
材料,后期收缩小
内部承重墙,后砌
隔墙,后砌
基本原则,分阶段、分等级、分对象
安全风险因素,工程建设期间
投入使用,地下工程建成
各种风险,投入使用
施工方法,地下结构
工程地质,场地
方案,工艺成熟
方案,安全稳妥
方案,可实施性好
方案,实施风险小
规模,工程
建设时间,工程
桥墩类型,钢筋混凝土桥墩
桥梁,铺设无砟轨道结构
测点布置,桥梁
观测频次,桥梁
观测周期,桥梁
人群均布荷载值,部位
位置,顶梁
渗漏,桥面水
孔道,箱内检查
直径,适当数量
通风孔,直径
第10．4节,本规范
有关要求,第10．4节
设计,标准化、模块化、集约化
土建工程,地下车站
车站结构立柱、墙,站台计算长度
距离,站台边缘
站台地面装饰层,向内1m范围
分隔,付费区与非付费区
平开栅栏门,向疏散方向开启
位置,广告
色彩,广告
车站,站台门
房间,噪声源
车站轨道区,车站
要求,功能
要求,城市景观
冷却塔,地下车站
冷却塔,地上
造型,冷却塔
色彩,冷却塔
位置,冷却塔
倾斜角度,车站出入口自动扶梯
自动扶梯,站台
自动扶梯,站厅
倾斜角度,自动扶梯
通过能力,换乘设施
相邻车站,换乘节点
相应区间,换乘节点
线位,相应区间
换乘车站,同步实施
站台层,地上车站
地下车站出入口,严寒地区
通道口,地下车站出入口
降压变电所位置,地下车站
横断面,排水沟
加固措施,防止冲刷
加固措施,渗漏
安全带内侧,站台门
安全线,纵向醒目
设备,地下车站
主通道,设备
主通道,管理用房有人区
消防专用通道,设备
消防专用通道,管理用房有人区
平面位置,路肩挡土墙
直线地段,平面位置
曲线地段,平面位置
规定,曲线路基加宽
折线处,平面位置
总体布局,车站
要求,城市规划
要求,城市综合交通规划
要求,环境保护
要求,城市景观
关系,地面建筑
关系,城市道路
关系,地下管线
关系,地下构筑物
关系,交通组织
出入口,道路两侧
间距,道路红线
集散场地,一定面积
地面标高,地下车站出入口
地面标高,消防专用出入口
地面标高,无障碍电梯
300mm～450mm,室外地面
槽高,防淹闸槽
建筑形式,车站地面出入口
弯折,通道
弯折角度,通道
措施,消防疏散要求
直线距离,进风亭口部
直线距离,出入口口部
自动扶梯,相对布置
工作点间距,自动扶梯
障碍物间距,自动扶梯工作点
间距,楼梯第一级踏步
开启净宽度,滑动门
站台,呈坡度
地面,站台门
平整度误差,站台全长
车站,站台门
端门,站台侧
应急门,站台侧
深度,无障碍电梯门前等候区
侧站台宽度,站台计算长度
室外地面高差处,电梯平台
《无障碍设计规范》GB 50763,现行国家标准
有关规定,《无障碍设计规范》GB 50763
设备,地上车站
管理用房,地上车站
热工设计,建筑围护结构
《公共建筑节能设计标准》GB 50189,现行国家标准
有关规定,《公共建筑节能设计标准》GB 50189
安全运行,列车
乘坐舒适,乘客
桥梁,无砟轨道结构
测点布置,沉降观察基准点
观测频次,沉降观察基准点
观测周期,沉降观察基准点
徐变上拱度,预应力混凝土简支梁
后期徐变上拱值,无砟桥面梁
连续梁轨道,无砟桥面预应力混凝土
后期徐变量,连续梁轨道
要求,轨道专业
静活载作用,列车
梁单端竖向转角,有砟轨道桥梁
梁单端竖向转角,无砟轨道桥梁
轨道扣件,梁端处
上拔力,轨道扣件
横向摇摆力,列车
梁体水平挠度,桥跨结构
一条线,同一横断面
同一横断面,桥跨结构梁体
竖向变形差,钢轨
钢轨,一条线
耦合振动,车桥或风车桥系统
自重,桥梁挡板结构
风荷载,桥梁挡板结构
水平推力,桥梁挡板结构
竖向压力,桥梁挡板结构
《铁路工程抗震设计规范》GB 50111,现行国家标准
有关规定,《铁路工程抗震设计规范》GB 50111
特殊结构桥梁,技术
特殊结构桥梁,修复
预应力混凝土,区间桥梁
结构设计,预应力混凝土
构造要求,预应力混凝土
《铁路桥涵钢筋混凝土和预应力混凝土结构设计规范》TB 10002．3,现行行业标准
有关规定,《铁路桥涵钢筋混凝土和预应力混凝土结构设计规范》TB 10002．3
容许应力,材料
容许应力,地基
容许承载力,单桩轴向
《铁路工程抗震设计规范》GB 50111,现行国家标准
有关规定,《铁路工程抗震设计规范》GB 50111
梁,不大于20m
《铁路桥梁板式橡胶支座》TB/T 1893,现行行业标准
取值,《铁路桥梁板式橡胶支座》TB/T 1893
厚度,胶垫层
高架结构,牵引
高架结构,走行轨回流
《地铁杂散电流腐蚀防护技术规程》CJJ 49,现行行业标准
有关规定,《地铁杂散电流腐蚀防护技术规程》CJJ 49
措施,防止杂散电流腐蚀
便道,养护
便道,维修
宽度,便道
检修车,自行走行升降式桥梁
截面尺寸,钢筋混凝土
截面尺寸,预应力混凝土结构
《铁路桥涵钢筋混凝土和预应力混凝土结构设计规范》TB 10002．3,现行行业标准
有关规定,《铁路桥涵钢筋混凝土和预应力混凝土结构设计规范》TB 10002．3
封锚及接缝处,预应力混凝土梁
部位,裂缝
防止裂缝,普通钢筋
桥墩,路中
桥墩,路边
腐蚀环境,除冰盐溅射
部位,混凝土水饱和
高架结构,酸雨地区
胶凝材料,单一
结构设计,轨道梁桥
限值,悬臂端计算挠度
计算跨度,悬臂构件
悬臂端计算挠度,独柱式带长悬臂“桥-建”组合结构体系
最不利组合,恒载
最不利组合,列车活载
最不利组合,人群荷载
最不利组合,预应力效应
最不利组合,风荷载
车站,独柱式带长悬臂“桥-建”组合结构体系
最大,结构整体振动竖向质量参与系数
自振频率,最大
高架车站结构,横向三柱及以上
《铁路工程抗震设计规范》GB 50111,现行国家标准
有关规定,《建筑抗震设计规范》GB 50011
轨道梁,车站高架结构
构造要求,轨道梁
构造要求,其支承结构
构造要求,其他构件
《混凝土结构设计规范》GB 50010,现行国家标准
规定,有关建筑结构设计标准
要求,城市规划
要求,行车运营
要求,环境保护
要求,抗震
要求,防水
要求,防火
要求,防护
要求,防腐蚀
要求,施工
不利影响,环境
改变,周围环境
作用,结构
线路,分期建设
设计,地下结构
特点,工程建筑物
具体情况,其所在场地
《地铁杂散电流腐蚀防护技术规程》CJJ 49,现行行业标准
有关规定,《地铁杂散电流腐蚀防护技术规程》CJJ 49
措施,防止杂散电流腐蚀
楼板,承受
实际轴重,地铁车辆
动力作用,车辆
荷载,重型设备运输车辆
重型设备运输车辆,线路
计算荷载,设备区
实际情况,检修
实际情况,正常使用
实际情况,设备安装
实际情况,动力效应
实际重量,设备
实际重量,重型设备
动力影响,设备
安装运输途径,设备
荷载大小与范围,设备
隧道,道路下方
《公路桥涵设计通用规范》JTG D60,现行行业标准
有关规定,《公路桥涵设计通用规范》JTG D60
荷载,铁路下方隧道
有关规定,《铁路桥涵设计基本规范》TB 10002．1
混凝土,大体积浇筑
连接紧固件,钢筋混凝土管片间
连接形式,连接紧固件
机械性能等级,连接紧固件
施工方法,地下结构
工程地质,场地
水文地质,场地
埋深,场地
安全,场地
投资,场地
工期,场地
结构,顶进法施工
长度较大,结构
要求,地基土质
要求,结构断面大小
要求,控制顶进方向
1/2,中间各节长度
变形量,节间接口
地铁结构,顶进法施工
设计,地铁结构
施工缝位置及间距,现浇混凝土
施工缝位置及间距,钢筋混凝土结构
经验,类似工程
地下结构周边构件,明挖法施工
配筋率,中楼板每侧暴露面上分布钢筋
配筋率,地下结构周边构件
间距,分布钢筋
最小配筋率,分布钢筋
具体情况,地下结构
建筑屋面,车辆基地
结构防水,车辆段上盖物业平台
《屋面工程技术规范》GB 50345,现行国家标准
有关规定,《屋面工程技术规范》GB 50345
环境温度,防水混凝土
氯离子扩散系数,防水混凝土
氯离子扩散系数,装配式钢筋混凝土结构
防水,工程结构
厚度,防水材料
需要,设备正常运转
橡胶类材料,良好弹性
橡胶类材料,遇水膨胀性
橡胶类材料,耐久性
橡胶类材料,耐水性
外形,接缝密封垫
错位量,估算
技术要求,不渗漏
耐水压,一字缝
耐水压,T字缝
通风,地铁
空调与供暖系统,地铁
生理及心理条件要求,人员
空气质量,地铁内部空气环境
温度,地铁内部空气环境
湿度,地铁内部空气环境
气流组织,地铁内部空气环境
气流速度,地铁内部空气环境
压力变化,地铁内部空气环境
噪声,地铁内部空气环境
